tamaño_m2,precio_cop,fecha_construccion,barrio,antiguedad,habitaciones
107,386400000,1990,Caicedo,35,3
120,460600000,1973,Conquistadores,52,3
158,1026800000,1992,Quinta Parro,33,6
91,394500000,1999,Andalucia,26,3
61,240000000,2005,Villa Hermosa,20,2
82,334400000,1978,Manrique Central,47,3
180,1504200000,2023,Prado,2,6
63,175300000,2006,Aranjuez,19,3
180,1020000000,2000,Laureles,25,4
65,270300000,2023,Caicedo,2,3
180,843500000,1983,Cristo Rey,42,4
114,559700000,1998,La Candelaria,27,3
53,189400000,2014,Santa Cruz,11,3
48,140200000,2018,Santa Cruz,7,2
47,132300000,2000,Manrique Central,25,3
83,431700000,2006,Manrique Central,19,4
92,733500000,2015,Buenos Aires,10,3
76,284700000,1986,La America,39,2
46,121000000,2007,La Cruz,18,3
155,980000000,2015,El Velodromo,10,6
157,1009800000,2016,Prado,9,5
120,682800000,2019,Conquistadores,6,5
59,245100000,2004,Caicedo,21,2
120,593400000,2004,Carlos E Restrepo,21,5
58,215700000,2021,Villa Hermosa,4,3
65,279600000,2002,La Candelaria,23,4
180,980100000,1999,Prado,26,6
110,357900000,1998,La Cruz,27,4
61,256400000,2024,La Candelaria,1,2
57,187000000,1995,Villa Nueva,30,3
85,383300000,2008,Buenos Aires,17,4
49,150300000,2010,Popular,15,3
60,218700000,2013,Guayabal,12,3
50,157500000,2001,Popular,24,2
120,577000000,2009,Belen,16,3
52,153700000,2019,La Cruz,6,2
64,273600000,2001,Caicedo,24,3
64,208900000,2011,Estadio,14,3
54,193000000,2012,Granizal,13,3
124,735700000,2014,Andalucia,11,4
71,378900000,2018,La America,7,2
55,139200000,2002,Villa Guadalupe,23,2
247,1739300000,2003,El Poblado,22,6
120,597300000,2006,Carlos E Restrepo,19,5
56,176800000,1974,Caicedo,51,3
59,150800000,1972,Campo Valdes No 1,53,2
180,1548700000,2023,Cristo Rey,2,4
120,553200000,2000,La Floresta,25,5
